curpusID,text,product,years,productID
酒店评论-1001,干净卫生服务好,茂名君悦商务酒店,2018,ID1
酒店评论-1002,环境可以，干净！,维也纳国际酒店(茂名电白店),2018,ID2
酒店评论-1003,环境不错，房间卫生都很好，生活也很方便，就是隔音效果不理想，有时太吵。我定的优惠价，性价比很高的，是一个不错选择。,茂名永利之家,2018,ID3
酒店评论-1004,很好.......舒服态度不错,茂名诚荟酒店,2018,ID4
酒店评论-1005,#卫生# #设计风格# #酒店餐饮#,茂名华景商务酒店,2018,ID5
酒店评论-1006,交通方便，离父母又比较近些，所以还是选择这里,茂名荔晶大酒店,2018,ID6
酒店评论-1007,酒店设施不错，热水很快，中央空调效果很好，服务态度很好，每次出差都是入住这个酒店，值得大家前往入住！,好莱登商务宾馆(信宜绍秀体育馆店),2018,ID7
酒店评论-1008,酒店隔音效果很差，杯子里有茶垢，窗子只能打开一点点没啥感觉，去听听他吞吞吐吐吞吞吐吐吞吞吐吐,茂名海豚酒店,2018,ID8
酒店评论-1011,很有格调哦，房间空间比较大，床也舒服,茂名南越印象岭南文化主题酒店火车站店,2018,ID9
酒店评论-1013,早餐附近很方便，加床不清楚可以直接致电酒店，酒店位置还可以，附近有吃的还有个大商场,茂名卓钰精品酒店,2018,ID10
酒店评论-1014,前台人员随意挂断电话。大冬天的，被子不够厚，被冷到感冒。,化州汇嘉大酒店,2018,ID11
酒店评论-1016,卫生环境房间都很满意，停车方便,茂名海云雁酒店,2018,ID12
酒店评论-1017,位置中心，吃饭方便，服务态度很好，早餐可以,茂名威利国际酒店,2018,ID13
酒店评论-1018,酒店环境卫生不错，服务态度很好,茂名柏丽酒店,2018,ID14
酒店评论-1019,酒店位于大学附近，房间设施齐全，房间宽敞明亮，干净整洁，早餐丰盛，饭菜美味可口，酒店工作人员服务态度非常好，,城市便捷酒店(茂名学府店),2018,ID15
酒店评论-1022,非常美好的一次出行，酒店环境优美，服务热情，早餐赞  族行好去处，下次有机会还会再来,茂名观海楼假日酒店,2018,ID16
酒店评论-1024,早餐还可以，不太适合我的口味，加不了床，双床是1.3米的很宽了，跟孩子睡没问题，酒店位置市中心，购物吃饭很方便，还能免费停车。,茂名国际大酒店,2018,ID17
酒店评论-1026,已经是第二次入住茂名这家酒店了，感觉和上次一样，基本保持了原来的服务水平，不错。酒店位置在闹市区附近，有自己的地下停车场。,尚客优连锁酒店(茂名高铁火车站店),2018,ID18
酒店评论-1027,很不错的酒店，环境不错，很安静，关键是服务态度很好，出门过了天桥过去就是茂名中心广场，还可以去休闲娱乐,茂名红金鼎商务宾馆,2018,ID19
酒店评论-1028,這次出行全部選擇維也納酒店，這個品牌的酒店真的很好，設施很好很新，雖然是全國連鎖酒店，但品質真的很好！也很安靜，沒有嘈雜聲，住的也很舒服，枕頭床舖都很適合人體工學！早餐也很給力！窗戶可以打開一點來通風！唯一不足的是酒店沒有區分吸煙房和無菸房，房間煙味太大了，雖然已經開了窗戶通風,维也纳国际酒店(茂名高铁火车站店),2018,ID20
酒店评论-1029,性价比不错,卓越酒店(茂名万达广场店),2018,ID21
酒店评论-1030,性价比高，位置还好找，干净卫生,茂名好来登商务酒店,2018,ID22
酒店评论-1032,酒店装饰很温馨，店员也很热情，位置正市中心，方便快捷，遇到一些小事故，店员配合很好，性价比很高的酒店,52连锁酒店(化州店),2019,ID23
酒店评论-1033,酒店设施一般，卫生干净，酒店位置出入停车方便,轻住悦享酒店(茂名高铁南站店),2019,ID24
酒店评论-1035,茂名熹龙国际酒店地理位置不错就在人民广场附近，交通便利茂名高铁站步行11分钟左右，酒店装修典雅环境舒适前台服务不错入住办理快捷，房间空间较大装修豪华，洗漱用品不错，隔音效果不错安静，早餐味道不错品种较少，价格比较实惠，性价比不错,茂名熹龙国际大酒店,2019,ID25
酒店评论-1036,强烈推荐！不错的酒店,维也纳国际酒店(茂名万达广场店),2019,ID26
酒店评论-1042,房间宽大干净卫生，地处市中心但夜里休息十分安静，自助早餐近二十个品种够丰富，在消毒车备用的餐具还带有余温，卫生彻底放心，服务热情还送了水果，200元左右性价比超高！值得再过入住和推荐。,茂名文汇酒店,2019,ID27
酒店评论-1047,酒店门口和景区门口相遥可见，忘记拍照片了，酒店的设施蛮齐全的，老板人特别好。满星好评。,茂名大龙湾酒店,2019,ID28
酒店评论-1049,酒店地处繁华地段，有地下停车场，房间很宽敞，干净卫生，免费早餐也不错，唯一的不足之处是电梯经常处于维修状态无法使用，有大件行李的话请慎重考虑！,茂名华燕宾馆,2019,ID29
酒店评论-1051,酒店干净卫生，服务规范热情，设施也较齐备好用，特别提出的是服务很热情周到，提出称赞的是酒店保安人员特别细心认真，我的车才停下不久一位性李的保安就发现我的车有漏机油现象，很快就通知了我，使得能很快得以维修，避免了车在路上出大的麻烦，也让我们特别感动，在此特别感谢茂名市维纳斯3好酒店的所有服务人员！谢谢！,维也纳3好酒店(茂名沿江大厦店),2019,ID30
酒店评论-1055,早餐还可以，旁边有条火车轨道，虽然深夜没火车但是白天到夜晚偶尔会有火车经过,精途酒店(茂名高铁火车站店),2019,ID31
酒店评论-1065,还好。比较舒适。交通方便！,茂名万达广场雅斯特国际酒店,2019,ID32
酒店评论-1071,早餐还可以，所以没给最低分。订房时没有注意酒店的五楼六楼是KTV！真的吵死了，躺在床上共振，一直吵到深夜一点半，和服务台通话，并告知要打110。后来终于睡着了不敢在去了,华海酒店(茂名高铁站店),2019,ID33
酒店评论-1073,有停车场，位置不错，周边购物饮食方便。但是床头没有电源插座！酒店说不给，还一本正经地说是考虑安全！然后叫客户自己出去买排插,星悦酒店(茂名文化广场店),2019,ID34
酒店评论-1079,设备齐全，酒店环境好，非常喜欢,Q加·茂名大喜假日酒店,2019,ID35
酒店评论-1084,整体感觉非常好，性价比超高,茂名宏悦大酒店,2019,ID36
酒店评论-1089,感觉还算可以吧！,唐华商务酒店(茂名高铁火车站店),2019,ID37
酒店评论-1092,位置比较好的，就是床硬了点,化州铭丰假日酒店,2019,ID38
酒店评论-1116,离高铁站八九分钟车程，旁边是商业中心，吃饭看电影很方便。免费升到行政房，房间很大，还可以泡个养生澡，很新的酒店，前台服务人员专业热情，颜值高。,茂名温德姆至尊酒店,2019,ID39
酒店评论-1128,交通方便，离车站也很近,如家酒店·neo(茂名高铁火车站店),2019,ID40
酒店评论-1140,还不错，房间挺精致的,茂名途遇精品酒店,2019,ID41
酒店评论-1141,有点远，买东西不方便,茂名零六六八公寓,2019,ID42
酒店评论-1147,卫生打扫的非常干净热情服务效率高,茂名栈泉酒店,2019,ID43
